, Інші залучені кошти, Інші фінансові зобов’язання, Відстрочені податкові зобов’язання," Кошти банків, у т. ч.:"," Кошти банків, у т. ч.:__ в іноземній валюті", Кошти отримані від Національного банку України," Усього зобов’язань, у т. ч.:"," Усього зобов’язань, у т. ч.:__ в іноземній валюті"," кошти фізичних осіб на вимогу, у т. ч.:"," кошти фізичних осіб на вимогу, у т. ч.:__ в іноземній валюті"," кошти фізичних осіб, у т. ч.:"," кошти фізичних осіб, у т. ч.:__ в іноземній валюті"," кошти юридичних осіб на вимогу, у т. ч.:"," кошти юридичних осіб на вимогу, у т. ч.:__ в іноземній валюті"," кошти юридичних осіб, у т. ч.:"," кошти юридичних осіб, у т. ч.:__ в іноземній валюті",MONTH,NKB,NKB_Банки з державною часткою,NRB_Банки з державною часткою,NRB_Банки з державною часткою ,QUARTER,YEAR,Інші залучені кошти,Інші зобов’язання,Інші фінансові зобов’язання,БАНК  ,Банк,Банк  ,"Боргові цінні папери, емітовані банком","Боргові цінні папери, емітовані банком, у т. ч.:","Боргові цінні папери, емітовані банком, у т. ч.:__ в іноземній валюті","Боргові цінні папери, емітовані банком__у тому числі в іноземній валюті",Відстрочені податкові зобов’язання,Зобовязання групи вибуття,Зобов’язання групи вибуття,Зобов’язання щодо поточного податку на прибуток,Кошти банків,Кошти банків__у тому числі в іноземній валюті,Кошти клієнтів,"Кошти клієнтів, у т.ч.:",Кошти клієнтів__у тому числі кошти юридичних осіб,Кошти клієнтів__у тому числі кошти юридичних осіб__у тому числі в іноземній валюті,Кошти клієнтів__у тому числі кошти юридичних осіб__у тому числі в іноземній валюті__у тому числі кошти юридичних осіб на вимогу,Кошти клієнтів__у тому числі кошти юридичних осіб__у тому числі в іноземній валюті__у тому числі кошти юридичних осіб на вимогу__у тому числі в іноземній валюті,Кошти клієнтів__у тому числі кошти юридичних осіб__у тому числі в іноземній валюті__у тому числі кошти юридичних осіб на вимогу__у тому числі в іноземній валюті__у тому числі кошти фізичних осіб,Кошти клієнтів__у тому числі кошти юридичних осіб__у тому числі в іноземній валюті__у тому числі кошти юридичних осіб на вимогу__у тому числі в іноземній валюті__у тому числі кошти фізичних осіб__у тому числі в іноземній валюті,Кошти клієнтів__у тому числі кошти юридичних осіб__у тому числі в іноземній валюті__у тому числі кошти юридичних осіб на вимогу__у тому числі в іноземній валюті__у тому числі кошти фізичних осіб__у тому числі в іноземній валюті__у тому числі кошти фізичних осіб на вимогу,Кошти клієнтів__у тому числі кошти юридичних осіб__у тому числі в іноземній валюті__у тому числі кошти юридичних осіб на вимогу__у тому числі в іноземній валюті__у тому числі кошти фізичних осіб__у тому числі в іноземній валюті__у тому числі кошти фізичних осіб на вимогу__у тому числі в іноземній валюті,"Кошти клієнтів_Кошти клієнтів, усього","Кошти клієнтів_Кошти клієнтів, усього__у тому числі:_юридичних осіб_кошти юридичних осіб, усього","Кошти клієнтів_Кошти клієнтів, усього__у тому числі:_юридичних осіб_кошти юридичних осіб, усього__у тому числі в іноземній валюті",Кошти клієнтів_кошти фізичних осіб на вимогу,Кошти клієнтів_кошти фізичних осіб на вимогу__у тому числі в іноземній валюті,Кошти клієнтів_кошти юридичних осіб на вимогу,Кошти клієнтів_кошти юридичних осіб на вимогу__у тому числі в іноземній валюті,"Кошти клієнтів_фізичних осіб_кошти фізичних осіб, усього","Кошти клієнтів_фізичних осіб_кошти фізичних осіб, усього__у тому числі в іноземній валюті",Кошти отримані від НБУ,МФО,Назва банку,Резерви за зобов'язаннями,Резерви за зобов’язаннями,Субординований борг,Усього зобов’язань,Усього зобов’язань__у тому числі в іноземній валюті,"Фінансові зобов'язання, що обліковуються за справедливою вартістю через прибуток або збиток",№ з/гр,№ з/п,№ п/п,№п/п
0,,,,,,,,,,,,,,,,,10,46,,,,1,2015,8116985.54045,1039624.75761,2709740.79782,,,,788510.85112,,,786707.56414,302267.94052,,0,7277.51643,33382434.15594,4733497.0985,,,,,,,,,,,161656780.20945,40109901.59945,24193527.58611,23482164.94285,6127480.62912,21872401.30402,8762567.59049,121546878.61,63845115.40567,,305299,ПРИВАТБАНК,57979.72014,,8470717.88334,216532319.37282,109783443.3806,,1,1,,
1,,,,,,,,,,,,,,,,,10,6,,,,1,2015,27742036.01926,314929.68473,675692.48947,,,,26.36414,,,0,0,,0,0,24660428.28381,9171990.78461,,,,,,,,,,,83934570.40553,41320356.19099,23889397.41156,11067429.26981,1007177.07269,32632779.92099,21281074.47373,42614214.21454,14436486.73463,,300465,ОЩАДБАНК,65614.85747,,2233870.34725,139627168.45166,77413060.44355,,2,2,,
2,,,,,,,,,,,,,,,,,10,2,,,,1,2015,43123383.85002,168813.12059,2334745.96565,,,,0,,,0,0,,0,0,8706270.68724,4728679.35614,,,,,,,,,,,71120451.12066,48967586.77506,33346330.66671,5237061.14767,3063868.82712,40872057.85586,30400043.93263,22152864.3456,15041816.34257,,322313,УКРЕКСІМБАНК,86784.34849,,8139680.74146,133680129.83411,105967366.26595,,3,3,,
3,,,,,,,,,,,,,,,,,10,3,,,,1,2015,81192.13403,311221.62083,463971.27267,,,,175599.78179,,,174048.47423,1233.82819,,0,0,26322485.94808,24622730.84866,,,,,,,,,,,15533586.76004,7895085.41664,3622606.13539,1289587.43146,381077.69157,5435709.05691,1706566.07994,7638501.3434,4234665.00757,,300012,ПРОМІНВЕСТБАНК,600062.89193,,6132236.10164,49621590.3392,39683527.66588,,4,4,,
4,,,,,,,,,,,,,,,,,10,299,,,,1,2015,0,215686.70566,287973.38632,,,,0,,,0,12831.22453,,0,0,28151154.04614,28137531.14921,,,,,,,,,,,18647694.65541,8728568.61308,2267986.73311,2761693.66728,1854509.07681,5287437.75303,1792513.26582,9919126.04233,8315209.60119,,320627,СБЕРБАНК РОСІЇ,6542.53721,,4307610.48719,51629493.04246,43137135.96555,,5,5,,
5,,,,,,,,,,,,,,,,,10,36,,,,1,2015,0,232929.79592,1563758.79139,,,,0,,,0,22028.99635,,0,2901.65029,5179998.12534,5099317.66868,,,,,,,,,,,35319475.4768,20426573.8721,3534363.91721,7222547.49661,2362991.73213,16185036.16144,3239229.17102,14892901.6047,6653637.78714,,300335,РАЙФФАЙЗЕН БАНК АВАЛЬ,57606.21534,,6416890.86909,48795589.92052,22122552.22213,,6,6,,
6,,,,,,,,,,,,,,,,,10,5,,,,1,2015,827124.4653,199050.09953,814094.35618,,,,19619.24141,,,0,0,,0,0,8450951.67057,8449539.88997,,,,,,,,,,,22293783.52722,10227075.25442,3578931.11428,3236874.59153,1536983.79818,6826774.67242,1558105.65533,12066708.2728,7060805.70688,,300023,УКРСОЦБАНК,91922.52707,,2156882.65768,34853428.54496,22524410.22262,,7,7,,
7,,,,,,,,,,,,,,,,,10,272,,,,1,2015,6798109.49363,100329.53283,1033634.77133,,,,1366059.64856,,,1348422.27089,0,,0,0,3466929.31326,3381320.84346,,,,,,,,,,,23107764.97828,11771758.49067,5013288.4358,1768052.49032,823238.64377,4831012.09048,1320418.95283,11336006.48761,6413631.66611,,300346,АЛЬФА-БАНК,3924.33174,,4067532.24731,39944284.31694,27096441.98661,,8,8,,
8,,,,,,,,,,,,,,,,,10,136,,,,1,2015,11542.79175,124427.66494,1603937.1013,,,,0,,,0,0,,0,0,115770.55406,115769.05631,,,,,,,,,,,27373917.50729,17471207.31683,4588409.98115,6095650.10915,3418876.96409,11012041.69332,3886191.26702,9902710.19046,5809906.52947,,351005,УКРСИББАНК,33641.35471,,6951991.99993,36215228.97398,17875527.98108,,9,9,,
9,,,,,,,,,,,,,,,,,10,115,,,,1,2015,4448824.30747,209075.48634,1479404.85738,,,,0,,,0,0,,0,0,984172.83526,106214.38747,,,,,,,,,,,24175553.13277,11600583.07741,4623222.56471,4737095.16025,2908748.78586,7743819.32585,3092365.34492,12574970.05536,7862032.45096,,334851,ПЕРШИЙ УКР.МІЖНАРОДНИЙ БАНК,35265.83698,,492197.83859,31824494.29479,17206258.45231,,10,10,,
