,"Інші фінансові активи, що обліковуються за справедливою вартістю через прибуток або збиток",Грошові кошти та їх еквіваленти,"Кошти в інших банках_Кошти в інших банках, усього","Кошти в інших банках_Кошти в інших банках, усього__у тому числі в іноземній валюті",Кошти в інших банках_Резерви під знецінення коштів в інших банках,Кошти обов’язкових резервів банку в НБУ,"Кредити та заборгованість клієнтів_Кредити та заборгованість клієнтів, усього","Кредити та заборгованість клієнтів_Кредити та заборгованість клієнтів, усього__у тому числі:_ юридичних осіб_кредити та заборгованість юридичних осіб, усього","Кредити та заборгованість клієнтів_Кредити та заборгованість клієнтів, усього__у тому числі:_ юридичних осіб_кредити та заборгованість юридичних осіб, усього__у тому числі в іноземній валюті",Назва банку,Торгові цінні папери,№ з/гр,№ з/п,Кредити та заборгованість клієнтів_юридичних осіб_резерви під знецінення кредитів та заборгованості клієнтів,"Кредити та заборгованість клієнтів_фізичних осіб_кредити та заборгованість фізичних осіб, усього","Кредити та заборгованість клієнтів_фізичних осіб_кредити та заборгованість фізичних осіб, усього__у тому числі в іноземній валюті",Кредити та заборгованість клієнтів_фізичних осіб_резерви під знецінення кредитів та заборгованості клієнтів,Цінні папери в портфелі банку на продаж,Цінні папери в портфелі банку на продаж__у тому числі резерви під знецінення цінних паперів у портфелі банку на продаж,Цінні папери в портфелі банку до погашення,Цінні папери в портфелі банку до погашення__у тому числі резерви під знецінення цінних паперів у портфелі банку до погашення,Інвестиції в асоційовані та дочірні компанії,Інвестиційна нерухомість,Дебіторська заборгованість щодо поточного податку на прибуток,Відстрочений податковий актив,Основні засоби та нематеріальні активи,Інші фінансові активи,Інші фінансові активи__у тому числі резерви під інші фінансові активи,Інші активи,Інші активи__у тому числі резерви під інші активи,"Необоротні активи, утримувані для продажу, та активи групи вибуття",Усього активів,YEAR,MONTH,QUARTER,NKB,№п/п,NKB_Банки з державною часткою,МФО,Банк   ,"Фінансові активи, що обліковуються за справедливою вартістю через прибуток або збиток",Кошти в інших банках,Кошти в інших банках__у тому числі в іноземній валюті,резерви під знецінення коштів в інших банках,Кредити та заборгованість клієнтів,Кредити та заборгованість клієнтів__у тому числі кредити та заборгованість юридичних осіб,Кредити та заборгованість клієнтів__у тому числі кредити та заборгованість юридичних осіб__у тому числі в іноземній валюті,Кредити та заборгованість клієнтів__у тому числі кредити та заборгованість юридичних осіб__у тому числі в іноземній валюті__у тому числі резерви під знецінення кредитів та заборгованості клієнтів,Кредити та заборгованість клієнтів__у тому числі кредити та заборгованість юридичних осіб__у тому числі в іноземній валюті__у тому числі резерви під знецінення кредитів та заборгованості клієнтів__у тому числі кредити та заборгованість фізичних осіб,Кредити та заборгованість клієнтів__у тому числі кредити та заборгованість юридичних осіб__у тому числі в іноземній валюті__у тому числі резерви під знецінення кредитів та заборгованості клієнтів__у тому числі кредити та заборгованість фізичних осіб__у тому числі в іноземній валюті,Кредити та заборгованість клієнтів__у тому числі кредити та заборгованість юридичних осіб__у тому числі в іноземній валюті__у тому числі резерви під знецінення кредитів та заборгованості клієнтів__у тому числі кредити та заборгованість фізичних осіб__у тому числі в іноземній валюті__у тому числі резерви під знецінення кредитів та заборгованості клієнтів,резерви під знецінення цінних паперів у портфелі банку на продаж,резерви під знецінення цінних паперів у портфелі банку до погашення,резерви під інші фінансові активи,резерви під інші активи,Резерви під знецінення цінних паперів у портфелі банку на продаж,Резерви під знецінення цінних паперів у портфелі банку до погашення,Резерви під інші фінансові активи,Резерви під інші активи,"Кошти в інших банках_Кошти в інших банках, усього__в іноземній валюті",Кошти в інших банках_резерви під знецінення коштів в інших банках,"Кредити та заборгованість клієнтів_Кредити та заборгованість клієнтів, усього__у тому числі:_ юридичних осіб_кредити та заборгованість юридичних осіб, усього__в іноземній валюті","Кредити та заборгованість клієнтів_фізичних осіб_кредити та заборгованість фізичних осіб, усього__в іноземній валюті",Цінні папери в портфелі банку на продаж__у тому числі:_резерви під знецінення цінних паперів у портфелі банку на продаж,Цінні папери в портфелі банку до погашення__у тому числі:_резерви під знецінення цінних паперів у портфелі банку до погашення,Інші фінансові активи__у тому числі:_резерви під інші фінансові активи,Інші активи__у тому числі:_резерви під інші активи,Усього активів__ в іноземній валюті,Банк  ,№ п/п,NRB_Банки з державною часткою,БАНК  , Грошові кошти та їх еквіваленти,"Кошти в інших банках, у т. ч.:","Кошти в інших банках, у т. ч.:__ в іноземній валюті"," Кредити та заборгованість клієнтів, у т. ч.:"," кредити та заборгованість юридичних осіб, у т. ч.:"," кредити та заборгованість юридичних осіб, у т. ч.:__ в іноземній валюті", резерви під знецінення кредитів та заборгованості клієнтів,"кредити та заборгованість фізичних осіб, у т. ч.:","кредити та заборгованість фізичних осіб, у т. ч.:__ в іноземній валюті",резерви під знецінення кредитів та заборгованості клієнтів," Цінні папери в портфелі банку на продаж, у т. ч.:","Цінні папери в портфелі банку до погашення, у т. ч.:", Інвестиції в асоційовані та дочірні компанії," Інші фінансові активи, у т. ч.:", резерви під інші фінансові активи," Інші активи, у т. ч.:", резерви під інші активи," Необоротні активи, утримувані для продажу, та активи групи вибуття","Усього активів, у т. ч.:","Усього активів, у т. ч.:__в іноземній валюті",Банк
0,14227394.03525,24979027.76841,2883828.41399,2883828.41399,-29505.78323,0,181362097.91645,156967503.78255,64437640.5361,ПРИВАТБАНК,36.361,1,1,-12408455.16213,24394594.1339,4749200.57769,-10695283.78582,1386973.21964,-2653.62182,193747.896,0,434797.18807,13794.66041,65000,8241.8328,2900083.22868,12884640.39353,-316287.13708,280471.57054,-17880.15548,189225.62323,241809360.108,2015,10,2,46,,,305299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5240716.8284,30409219.59948,259890.44428,43302.89824,-433956.98381,0,69158393.18986,66367845.65834,29973241.54791,ОЩАДБАНК,0,2,2,-32682476.05552,2790547.53152,93489.36965,-3022258.61553,46955923.55783,-3061687.77291,0,-752.92102,24800,0,306922.02848,76831.43192,3386356.13371,268584.67565,-223280.57543,484110.91252,-77037.3258,24556.89284,156596305.69497,2015,10,2,6,,,300465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,15616007.13776,5048593.89425,3920590.57842,-909569.58551,0,57646650.9046,57284085.82479,42991975.96749,УКРЕКСІМБАНК,9065987.12351,3,3,-37134678.30532,362565.07981,134297.58115,-1157513.17425,45581948.53305,-3670367.96114,0,0,0,1986086.692,711440.41996,1314000,2200189.58253,634665.12939,-294631.00611,386681.80655,-15511.45987,0,140192251.2236,2015,10,2,2,,,322313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,4328155.12572,51846.8647,51846.8647,-13066.31899,0,42246168.73601,42185096.25802,32974042.93522,ПРОМІНВЕСТБАНК,0,4,4,-12476628.17078,61072.47799,3180.70401,-62822.82224,3967898.5458,-88724,0,0,121.975,837525.52215,14958.59919,356310.16906,2797712.86708,645200.54273,-576820.77116,438310.20256,-45481.09785,201276.00285,55885485.15285,2015,10,2,3,,,300012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,2263050.92283,0,0,0,0,46321290.36166,45751838.66962,40697435.44401,СБЕРБАНК РОСІЇ,0,5,5,-8129855.51948,569451.69204,18424.40993,-565906.26539,3978978.38719,-18825.89331,0,0,14417.8969,3667.471,18055.33236,54504.88363,940387.32354,64727.02757,-384.30588,89021.20656,-10617.4047,0,53748100.81324,2015,10,2,299,,,320627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,13415403.41656,718633.97227,718613.97227,-8930.42868,0,25961117.52829,18366596.5733,5223115.94032,РАЙФФАЙЗЕН БАНК АВАЛЬ,2722182.52785,6,6,-7374513.52838,7594520.95499,2942260.91514,-14918894.61798,882329.77223,-14390.98384,4146723.13704,0,206080.30755,143543.51737,214122.56814,1080580.03124,2305431.95206,636680.48087,-45485.91575,157775.91911,-96163.36844,48141.29452,52638746.4251,2015,10,2,36,,,300335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17445.68957,2504870.0469,1278786.10831,1278786.10831,-12917.03144,528801.21566,28991528.14419,15526211.41866,7231917.13291,УКРСОЦБАНК,0,7,7,-7969266.76721,13465316.72553,9765048.00978,-14248482.87659,132975.67822,-45691.66698,1507129.00569,0,7030.71,1579372.1925,81864.52762,934336.67202,3656325.6837,182932.74714,-130950.48784,1676188.7084,-30097.20034,0,43079587.12992,2015,10,2,5,,,300023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,33160.645,6630430.98811,2153002.34546,1910644.48802,-148204.83996,510671.12582,26961279.81016,23340049.42734,16694838.14924,АЛЬФА-БАНК,0,8,8,-3565689.25502,3621230.38282,1031510.34817,-3198998.45684,2507995.2098,0,0,0,0,453197.62902,203.59309,506916.01397,632680.78242,1466143.60008,-13730.44975,48154.46645,-2497.80331,0,41903836.20938,2015,10,2,272,,,300346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,669.92071,10892956.47881,72139.14768,72139.14768,-716.85985,0,19678639.53607,12415354.0848,2551233.0456,УКРСИББАНК,0,9,9,-1042058.83588,7263285.45127,5655806.01411,-2135146.99103,4482085.33306,0,0,0,346658.18126,39443.20307,5814.326,1127401.22505,1068818.5623,237820.58184,-79859.72647,120771.84689,-5809.30068,11055.6078,38084273.95054,2015,10,2,136,,,351005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8227.50511,5034595.78496,715715.11595,626430.95221,-199469.89197,0,25921910.91406,23267344.35057,13707409.9615,ПЕРШИЙ УКР.МІЖНАРОДНИЙ БАНК,134281.69646,10,10,-3945294.71264,2654566.56349,465402.5176,-3186639.93988,1794467.99492,-5163.312,0,0,0,104044.60314,45404.7581,205142.83018,1515052.58529,166706.2128,-43511.14943,46989.5327,-5917.19414,172748.33185,35865287.86552,2015,10,2,115,,,334851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
