, Інший додатковий капітал, Емісійні різниці, Резерви переоцінки, Статутний капітал, Усього власного капіталу,MONTH,NKB,NKB_Банки з державною часткою,NRB_Банки з державною часткою,QUARTER,YEAR,Інший додатковий капітал,Банк,Банк   ,Емісійні різниці,Емісійні різниці ,МФО,Назва банку,Незареєстрований статутний капітал,Незареєстровані внески до статутного капіталу,Нерозподілений прибуток (непокритий збиток),Резерви переоцінки,Резервні та інші фонди банку,Статутний капітал,Статутний капітал* ,Статутний капітал ,Статутний капітал *,Усього власного капіталу,Усього власного капіталу ,Усього зобов'язань та власного капіталу,№ з/гр,№ з/п,№ п/п,№п/п
0,,,,,,10,46,,,3,2015,,,,,22873.4686,305299,ПРИВАТБАНК,,0,978425.927899994,1571266.78767,1448005.75101,,21256468.8,,,,25277040.73518,241809360.108,1,1,,
1,,,,,,10,6,,,3,2015,,,,,0,300465,ОЩАДБАНК,,0,-14324432.71196,1122257.61573,269992.33954,,29901320,,,,16969137.24331,156596305.69497,2,2,,
2,,,,,,10,2,,,3,2015,,,,,0,322313,УКРЕКСІМБАНК,,0,-17602481.24489,2262634.78459,162926.09859,,21689041.7512,,,,6512121.38949,140192251.2236,3,3,,
3,,,,,,10,3,,,3,2015,,,,,5300,300012,ПРОМІНВЕСТБАНК,,0,-14717905.82826,1967808.32191,0,,19008692.32,,,,6263894.81365,55885485.15285,4,4,,
4,,,,,,10,299,,,3,2015,,,,,270558,320627,СБЕРБАНК РОСІЇ,,0,-2510430.81891,166726.91458,799293.17511,,3392460.5,,,,2118607.77078,53748100.81324,5,5,,
5,,,,,,10,36,,,3,2015,,,,,3033306.41984,300335,РАЙФФАЙЗЕН БАНК АВАЛЬ,,0,-3342112.39401,832271.92185,316915.6489,,3002774.908,,,,3843156.50458,52638746.4251,6,6,,
6,,,,,,10,5,,,3,2015,,,,,7027517.86115,300023,УКРСОЦБАНК,,0,-11121287.42375,2248172.82821,2332221.11485,,7739534.2045,,,,8226158.58496,43079587.12992,7,7,,
7,,,,,,10,272,,,3,2015,,,,,6.46353,300346,АЛЬФА-БАНК,,0,-3292425.19852,318802.05758,294047.61085,,4639120.959,,,,1959551.89244,41903836.20938,8,8,,
8,,,,,,10,136,,,3,2015,,,,,811259.8416,351005,УКРСИББАНК,,0,-781356.86643,6823.46998,57985.49141,,1774333.04,,,,1869044.97656,38084273.95054,9,9,,
9,,,,,,10,115,,,3,2015,,,,,101659.63403,334851,ПЕРШИЙ УКР.МІЖНАРОДНИЙ БАНК,,0,-804984.981980002,760658.16836,688968.35032,,3294492.4,,,,4040793.57073,35865287.86552,10,10,,
10,,,,,,10,274,,,3,2015,,,,,135941.77628,320478,УКРГАЗБАНК ,,0,-9275519.0474,211490.69566,226154.88168,,13318560.695,,,,4616629.00122,34044279.86926,11,11,,
11,,,,,,10,42,,,3,2015,,,,,1.1984,321767,ВТБ БАНК,,14500000,-22860489.2851,80059.69852,0,,10815784.405,,,,2535356.01682,25278526.59024,12,12,,
12,,,,,,10,296,,,3,2015,,,,,393453.08577,300528,ОТП БАНК,,0,-3275226.62514,-3571.53599,512356.06457,,3668186.13534,,,,1295197.12455,23055492.97021,13,13,,
13,,,,,,10,171,,,3,2015,,,,,0,300614,КРЕДІ АГРІКОЛЬ БАНК,,0,-31707.11069,0,289569.97402,,1222928.76,,,,1480791.62333,21882097.92456,1,14,,
14,,,,,,10,106,,,3,2015,,,,,335564.02,328209,"""ПІВДЕННИЙ""",,0,232691.54219,229831.38599,135762.09489,,956894,,,,1890743.04307,17345813.34441,2,15,,
15,,,,,,10,295,,,3,2015,,,,,0,300539,IHГ БАНК УКРАЇНА,,0,445681.99035,0,924731.84266,,731298.045,,,,2101711.87801,14055911.68712,3,16,,
16,,,,,,10,297,,,3,2015,,,,,253090.78194,300584,СІТІБАНК ,,0,1550417.14464,-2505.64584,206370.59537,,66500,,,,2073872.87611,12464149.06814,4,17,,
17,,,,,,10,202,,,3,2015,,,,,0,300670,"""ХРЕЩАТИК""",,0,-508695.93405,78923.76426,52055.40444,,1028828.944,,,,651112.17865,10089581.92651,5,18,,
18,,,,,,10,126,,,3,2015,,,,,138.44,351629,МЕГАБАНК,,0,13072.0236900001,49107.76119,134588.93175,,620000,,,,816907.15663,8507812.96005,6,19,,
19,,,,,,10,66,,,3,2015,,,,,535523.976,321712,РОДОВІД БАНК,,0,-10348555.76133,80834.23846,573038.31859,,12359298.9996,,,,3200139.77132,8432505.32851,7,20,,
20,,,,,,10,88,,,3,2015,,,,,38.05317,325365,КРЕДOБАНК,,330000,-1466277.14639,160313.76071,40175.66687,,1918969.46916,,,,983219.80352,8146011.59779,8,21,,
21,,,,,,10,22,,,3,2015,,,,,1390001.86726,300175,ФІДОБАНК,,291644.715,-2739005.35461,38855.87069,9725.77688,,2316188.819,,,,1307411.69422,7615797.16298,9,22,,
22,,,,,,10,270,,,3,2015,,,,,0,305749,БАНК КРЕДИТ ДНІПРО,,0,-560014.99582,96439.45797,59768.8272,,835000,,,,431193.28935,7413290.37381,10,23,,
