,MONTH,NKB_Банки з державною часткою,NRB_Банки з державною часткою,QUARTER,YEAR,Банк  ,Банк   ,"Кредити, що надані субєктам господарювання за видами економічної діяльності, що класифікуються за секціями (А,B-E,F)","Кредитні операції, що класифіковані за I категорією якості","Кредитні операції, що класифіковані за I категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за II категорією якості","Кредитні операції, що класифіковані за II категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за III категорією якості","Кредитні операції, що класифіковані за III категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за IV категорією якості","Кредитні операції, що класифіковані за IV категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за V категорією якості","Кредитні операції, що класифіковані за V категорією якості__величина кредитного ризику за такими операціями",МФО,Рентабельність активів (%),№ п/п,№п/п
0,01,,46,4,2017,,"ПАТ КБ ""ПРИВАТБАНК""",4591657.43459,100795271.41201,347797.97842,29809397.8507,4524486.4137,136605868.25057,58233627.8875,14835930.19922,11153321.93027,19638403.89384,19583959.40548,305299,-50.31,1,
1,01,,2,4,2017,,"АТ ""Укрексімбанк""",64490717.21188,28239132.75012,242476.53294,27305798.97952,147571.8487,12838832.14071,635468.83936,11822842.68006,4029546.76004,43453987.53121,40961227.21888,322313,-0.67,2,
2,01,,6,4,2017,,"АТ ""ОЩАДБАНК""",44049848.40018,8398036.74772,200376.04819,42958912.60274,3243152.02017,13496133.25144,2341395.81683,23935695.55682,6461389.24466,44739863.69996,39283454.85777,300465,0.25,3,
3,01,,274,4,2017,,"АБ ""УКРГАЗБАНК""",15995581.31837,24759954.40212,27427.10198,9437205.6464,54160.20479,1442395.13863,25588.88061,772423.26814,465232.95353,7022147.69921,6947467.75343,320478,0.5677,4,
4,01,,313,4,2017,,Укр.банк реконстр.та розв.,,,,,,,,,,,,380883,-2.6121,5,
5,01,,593,4,2017,,"ПАТ ""РОЗРАХУНКОВИЙ ЦЕНТР""",,128.70942,,,,,,,,,,344443,1.08,6,
6,01,,3,4,2017,,"ПАТ ""Промінвестбанк""",31816401.3014,8690158.02532,32058.92493,16384459.29768,414101.84221,1452667.73518,418788.37271,2094938.25808,1307346.11115,27009655.19862,22760537.19864,300012,-11.28,7,
7,01,,5,4,2017,,"ПАТ ""УКРСОЦБАНК""",12577513.80617,5043763.55728,136592.11769,8421938.93132,135747.37575,8365402.4084,3917694.23568,728618.08566,365828.39189,30102888.48563,23868910.63728,300023,-21.48,8,
8,01,,36,4,2017,,"АТ ""Райффайзен Банк Аваль""",17579891.31613,34184975.94093,154949.05122,10329910.79048,298470.2106,4720694.72779,497453.44071,3156993.97248,1069263.36949,24227172.7647,23475847.26366,300335,5.3911,9,
9,01,,42,4,2017,,"ПАТ ""ВТБ БАНК""",16529745.66919,1828281.41188,8000.5685,1735552.60843,117000.72487,610612.16745,158154.50379,10937631.74226,2127926.82417,24733043.19961,22655914.1293,321767,-28.0665,10,
