id,name,type,Грошові кошти та їх еквіваленти,Кошти обов’язкових резервів банку в НБУ,Торгові цінні папери,"Інші фінансові активи, що обліковуються за справедливою вартістю через прибуток або збиток","Кошти в інших банках, усього","кредити та заборгованість юридичних осіб, усього","кредити та заборгованість фізичних осіб, усього",Цінні папери в портфелі банку на продаж,Цінні папери в портфелі банку до погашення,Інвестиції в асоційовані та дочірні компанії,Інвестиційна нерухомість,Дебіторська заборгованість щодо поточного податку на прибуток,Відстрочений податковий актив,Основні засоби та нематеріальні активи,Інші фінансові активи,Інші активи,"Необоротні активи, утримувані для продажу, та активи групи вибуття",Кошти банків,"кошти юридичних осіб, усього","кошти фізичних осіб, усього","Боргові цінні папери, емітовані банком",Інші залучені кошти,Зобов’язання щодо поточного податку на прибуток,Відстрочені податкові зобов’язання,Резерви за зобов'язаннями,Інші фінансові зобов’язання,Інші зобов’язання,Субординований борг,Зобов’язання групи вибуття,Статутний капітал,Емісійні різниці,Незареєстровані внески до статутного капіталу,Нерозподілений прибуток (непокритий збиток),Резервні та інші фонди банку,Резерви переоцінки,Процентні доходи,Процентні витрати,Чистий процентний дохід/(Чисті процентні витрати),Комісійні доходи,Комісійні витрати,Результат від операцій з цінними паперами в торговому портфелі банку,Результат від операцій з хеджування справедливої вартості,"Результат від переоцінки інших фінансових інструментів, що обліковуються за справедливою вартістю з визнанням результату переоцінки через прибутки або збитки",Результат від продажу цінних паперів у портфелі банку на продаж,Результат від операцій з іноземною валютою,Результат від переоцінки іноземної валюти,Результат від переоцінки об'єктів інвестиційної нерухомості,"Доходи/(витрати), які виникають під час первісного визнання фінансових активів за процентною ставкою, вищою або нижчою, ніж ринкова","Витрати/(доходи), які виникають під час первісного визнання фінансових зобов'язань за процентною ставкою, вищою або нижчою, ніж ринкова",Відрахування до резерву під знецінення кредитів та коштів в інших банках,Відрахування до резерву під знецінення дебіторської заборгованості та інших фінансових активів,Знецінення цінних паперів у портфелі банку на продаж,Знецінення цінних паперів у портфелі банку до погашення,Відрахування до резервів за зобов'язаннями,Інші операційні доходи,Адміністративні та інші операційні витрати,Частка в прибутку/(збитку) асоційованих компаній,Прибуток/(збиток) до оподаткування,Витрати на податок на прибуток,Прибуток/(збиток),Переоцінка цінних паперів у портфелі банку на продаж,Переоцінка основних засобів та нематеріальних активів,Результат переоцінки за операціями з хеджування грошових потоків,Частка іншого сукупного прибутку асоційованої компанії,"Податок на прибуток, пов'язаний з іншим сукупним доходом",Інший сукупний дохід після оподаткування,Усього сукупного доходу
1,АВАНГАРД,1,46645.48,0,0,0,340227.4,0,0,50349.6,0,0,0,74.07,272.2,3622.302,0.4515,182.3884,0,98404.54,186979.8,5292.422,0,0,3939.029,261,0,6854.318,1906.921,0,0,122000,0,0,14537.43,9.38623,1189.084,49086.22,-13739.3,35346.91,1119.782,-131.599,0,0,25402.78,-38873.6,54942.62,0,0,0,0,-41661.2,0,0,0,0,0.24595,-18008.7,0,18137.29,-3778.2,14359.09,1450.084,0,0,0,-261,1189.084,15548.18
2,АГРОКОМБАНК (Айбокс Банк),1,94847.21,0,43204.79,0,102442.1,252253.2,60538.96,60,0,0,0,571.138,0,91687.44,41511.42,7478.165,0,128609.9,136603.3,219605.2,0,57849.21,0,0,302.7668,1198.324,955.4729,17091.97,0,102453.5,0.5,0,299.4128,11535.41,18089.51,52405.93,-41383.7,11022.22,18332.48,-4024.87,5692.308,0,21642.67,0,14238.75,-21252.2,0,0,0,-5067,-103.552,0,0,785.9224,2062.884,-42830.2,0,499.4128,-200,299.4128,0,0,0,0,0,0,299.4128
3,АКОРДБАНК,1,94799.8,0,0,0,5769.872,392938.9,13099.39,39143.23,0,0,0,553.3384,356.5032,4883.145,10830.67,164.2288,0,70910.18,79634.64,238266.2,0,0,0,0,11.56529,1373.078,2426.737,67407.49,0,96400,0,0,4838.035,1445.514,-174.306,69541.54,-44225.3,25316.24,14798.7,-1546,0,0,-3114.74,0,-23876.6,30761.86,0,0,0,-1146.1,-152.618,0,0,2.11049,277.0352,-36482.5,0,4837.4,0,4837.4,-126.803,0,0,0,0,-126.803,4710.598
4,АКЦЕНТ (А-Банк),1,1179334,0,7540.334,0,0,149406.4,781868,0,0,0,0,0,0,24058.06,9138.318,31747.22,0,3.37321,161713.3,1733908,0,0,0,1357.259,39.26932,18179.24,8478.459,50424.66,0,125560,40.51219,0,45261.72,36168.36,1957.303,498324.7,-227013,271311.7,107611.7,-7239.65,3855.6,0,0,0,19734.96,-37901.9,0,0,0,-129986,-138.224,0,0,-27.246,9354.82,-222003,0,14573.01,-3955.85,10617.16,0,0,0,0,0,0,10617.16
5,АЛЬПАРІ БАНК,1,839.1882,0,0,0,0,27213.97,0,109418.6,0,0,0,176.74,0,3797.374,315.5911,113.7739,0,0,4735.443,1887.858,0,0,326.9813,2039.169,0,4.44231,504.3974,0,0,122000,0,0,549.9323,39.76637,9787.213,16666.36,-480.536,16185.83,258.1358,-93.8132,0,0,0,-301.973,-3.81325,-284.777,0,0,0,-2961.15,-28.399,0,0,0,3.85993,-12242.6,0,531.2683,-297.416,233.852,9508.093,0,0,0,-1905.66,7602.434,7836.286
6,АЛЬФА-БАНК,1,4617338,0,0,2770711,1044522,20757719,4851464,911975.3,0,0,127752.2,0,197679.4,553798.1,826007.4,34947.26,0,5121681,7544561,10516269,48605.48,6772668,0,0,4693.927,161371.2,136117.5,2878258,0,4639121,6.46353,0,-1660761,294047.6,237274.9,4731180,-3013322,1717858,841284.4,-74212.2,711167.5,0,1969199,0,-81058.7,-765962,4155.25,-2983.38,0,-4111916,-2791.85,0,0,1179.856,616032.8,-1707508,0,-885556,141505.9,-744050,-2023.7,0,0,0,0,-2023.7,-746074
7,АЛЬЯНС,1,36428.29,0,22923.3,0,0,526061.7,357.0926,22376.78,0,0,0,77,0,4257.249,1.95729,256.8597,0,11250,206044.9,41672.82,0,0,320.6709,3148.856,16.38235,748.6785,367.2674,63872.13,0,64778.9,0,197221.1,49.66254,22673.6,575.2705,45856.13,-13299.7,32556.44,1880.565,-394.02,315.2178,0,2504.031,0,5758.44,-6794.01,0,0,0,-26437.6,9.28762,0,0,-1.99766,218.3316,-7906.97,0,1707.719,-1658.06,49.66254,-463.179,0,0,0,-126.279,-589.458,-539.795
8,АПЕКС-БАНК,1,277062.3,0,0,0,44625.84,430250.7,76852.16,0,0,0,0,3476.483,98.261,3615.584,3802.202,1183.184,1441.543,102449.2,201197.1,310551.9,0,0,797.0694,0,29.94016,7071.503,2240.695,0,0,205000,0,0,11018.03,2052.748,0,85477.71,-51036.1,34441.63,21215.25,-7347.98,0,0,0,0,60235.14,-21156.5,0,-37.9752,0,-37129.1,0.89174,0,0,0,121.9035,-46578.7,0,3764.457,-1027.03,2737.424,0,0,0,0,0,0,2737.424
9,АРКАДА,1,116507.4,0,0,0,0,1934424,127242.9,39354.61,50205.48,0,0,0,0,232179.3,151.4159,1670.822,0,186033.2,792291.9,977231.6,0,0,84.917,6864.351,15364.13,192174.2,12405.88,0,0,220445,13.40704,0,52459.52,46367.46,0,310382.4,-246126,64256.51,108664,-80.9579,0,0,0,11001.98,3083.394,1680.101,0,0,0,-17144.8,357.5937,-0.37998,0,-9779.6,6463.637,-156811,0,11690.22,-3134.96,8555.252,0,0,0,0,0,0,8555.252
10,АРТЕМ-БАНК,0,44821.38,0,0,0,68954.22,313716.7,33802.65,59384.53,0,0,0,0,0,1681.981,37.14678,655.4008,0,69134.66,108610.6,147197.7,0,9721.129,91.65074,0,12.59034,4806.261,864.2501,85887.86,0,86000,0,0,1935.06,9292.578,-500.399,54425.72,-35883.4,18542.32,10333.84,-2403.96,0,0,57.28313,0,7750.172,-3236.9,0,0,0,4921.686,-3.29251,0,0,-11.0966,232.8471,-34023.4,0,2159.464,-224.404,1935.06,-663.095,0,0,0,0,-663.095,1271.965
